birthpl,birthpl_susenas,birthpl_hsiao
1105,1101,1105
1101,1102,1101
1101,1103,1101
1102,1104,1102
1103,1105,1103
1104,1106,1104
1105,1107,1105
1106,1108,1106
1107,1109,1107
1108,1110,1108
1108,1111,1108
1101,1112,1101
1102,1113,1102
1103,1114,1103
1105,1115,1105
1105,1116,1105
1104,1117,1104
1107,1118,1107
1171,1171,1171
1172,1172,1172
1103,1173,1103
1108,1174,1108
1101,1175,1101
,1176,
1201,1201,1201
1202,1202,1202
1202,1203,1202
1203,1204,1203
1204,1205,1204
1204,1206,1204
1205,1207,1205
1206,1208,1206
1207,1209,1207
1208,1210,1208
1209,1211,1209
1210,1212,1210
1211,1213,1211
1201,1214,1201
1204,1215,1204
1208,1216,1208
1204,1217,1204
1210,1218,1210
1206,1219,1206
1202,1220,1202
1202,1221,1202
1205,1222,1205
1205,1223,1205
1201,1224,1201
1201,1225,1201
1271,1271,1271
1272,1272,1272
1273,1273,1273
1274,1274,1274
1275,1275,1275
1276,1276,1276
1202,1277,1202
1201,1278,1201
1305,1301,1305
1301,1302,1301
1302,1303,1302
1303,1304,1303
1304,1305,1304
1305,1306,1305
1306,1307,1306
1307,1308,1307
1308,1309,1308
1302,1310,1302
1303,1311,1303
1308,1312,1308
,1322,
1371,1371,1371
1372,1372,1372
1373,1373,1373
1374,1374,1374
1375,1375,1375
1376,1376,1376
1305,1377,1305
1401,1401,1401
1401,1402,1401
1402,1403,1402
1404,1404,1404
1405,1405,1405
1404,1406,1404
1404,1407,1404
1405,1408,1405
1405,1409,1405
1405,1410,1405
,1412,1403
,1422,
1471,1471,1471
,1472,1403
1405,1473,1405
,1477,
1501,1501,1501
1503,1502,1503
1503,1503,1503
1504,1504,1504
1504,1505,1504
1505,1506,1505
1505,1507,1505
1502,1508,1502
1502,1509,1502
1571,1571,1571
1501,1572,1501
1601,1601,1601
1602,1602,1602
1603,1603,1603
1604,1604,1604
1605,1605,1605
1606,1606,1606
1606,1607,1606
1601,1608,1601
1601,1609,1601
1602,1610,1602
1604,1611,1604
1603,1612,1603
,1613,
1671,1671,1671
1603,1672,1603
1604,1673,1604
1605,1674,1605
,1677,
1701,1701,1701
1702,1702,1702
1703,1703,1703
1701,1704,1701
1701,1705,1701
1703,1706,1703
1702,1707,1702
1702,1708,1702
1703,1709,1703
,1713,
1771,1771,1771
1803,1801,1803
1801,1802,1801
1801,1803,1801
1802,1804,1802
1802,1805,1802
1803,1806,1803
1803,1807,1803
1803,1808,1803
1801,1809,1801
1801,1810,1801
1803,1811,1803
1803,1812,1803
1803,1813,1803
,1814,
1871,1871,1871
1802,1872,1802
1607,1901,1607
1608,1902,1608
1607,1903,1607
1607,1904,1607
1607,1905,1607
1608,1906,1608
1672,1971,1672
1403,2101,1403
1403,2102,1403
1403,2103,1403
1403,2104,1403
1403,2105,1403
1403,2171,1403
1403,2172,1403
,2173,
3175,3101,3175
,3102,
,3106,
,3107,
,3109,
,3116,
,3118,
,3121,
3171,3171,3171
3172,3172,3172
3173,3173,3173
3174,3174,3174
3175,3175,3175
3203,3201,3203
3204,3202,3204
3205,3203,3205
3206,3204,3206
3207,3205,3207
3208,3206,3208
3209,3207,3209
3210,3208,3210
